platform,post_type,media_type,content_topic,day_of_week,predicted_donation_referrals,predicted_engagement_rate,prediction_timestamp
YouTube,FundraisingAppeal,Video,CampaignLaunch,Thursday,26.5,0.0805,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,CampaignLaunch,Thursday,26.3,0.0805,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Health,Sunday,26.3,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Health,Sunday,26.1,0.0812,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,CampaignLaunch,Wednesday,26.0,0.0822,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,CampaignLaunch,Sunday,25.9,0.0831,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,CampaignLaunch,Wednesday,25.8,0.0829,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,CampaignLaunch,Sunday,25.7,0.0831,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,CampaignLaunch,Monday,25.5,0.0809,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,CampaignLaunch,Tuesday,25.4,0.0831,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,EventRecap,Thursday,25.4,0.0786,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Gratitude,Thursday,25.4,0.0786,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,CampaignLaunch,Saturday,25.4,0.0839,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,CampaignLaunch,Friday,25.4,0.0831,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Education,Thursday,25.4,0.0756,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,AwarenessRaising,Thursday,25.4,0.0786,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,SafehouseLife,Thursday,25.3,0.079,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,CampaignLaunch,Saturday,25.2,0.0839,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Reintegration,Thursday,25.2,0.0782,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,CampaignLaunch,Friday,25.2,0.0831,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,CampaignLaunch,Monday,25.2,0.081,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,DonorImpact,Thursday,25.2,0.0777,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,CampaignLaunch,Tuesday,25.1,0.0831,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,SafehouseLife,Thursday,25.1,0.0791,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Gratitude,Thursday,25.1,0.0786,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Education,Thursday,25.1,0.0757,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,AwarenessRaising,Thursday,25.1,0.0786,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,EventRecap,Thursday,25.1,0.0786,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Video,Health,Thursday,25.1,0.0786,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,DonorImpact,Thursday,25.0,0.0778,2026-04-09T19:37:24.051216+00:00
YouTube,FundraisingAppeal,Reel,Health,Thursday,24.9,0.0786,2026-04-09T19:37:24.051216+00:00
